91114,Rochefort,870
91120,Somme-Leuze,235
91141,Yvoir,821
91142,Hastière,231
91143,Vresse-sur-Semois,177
92003,Andenne,1798
92006,Assesse,430
92035,Eghezée,979
92045,Floreffe,742
92048,Fosses-la-Ville,690
92054,Gesves,466
92087,Mettet,851
92094,Namur,8362
92097,Ohey,312
92101,Profondeville,738
92114,Sombreffe,598
92137,Sambreville,2057
92138,Fernelmont,564
92140,Jemeppe-sur-Sambre,1093
92141,La Bruyère,758
92142,Gembloux,1913
93010,Cerfontaine,222
93014,Couvin,1072
93018,Doische,173
93022,Florennes,736
93056,Philippeville,798
93088,Walcourt,1004
93090,Viroinval,314
