Ecole fondamentale libre Saint-Joseph et Sainte-Thérèse,Place de l'Hôtel de Ville 22 ,5620,502512389,46018285,Maternel ordinaire
Ecole fondamentale libre Saint-Joseph et Sainte-Thérèse,Place de l'Hôtel de Ville 22 ,5620,502512389,46018285,Primaire ordinaire
Ecole fondamentale libre Saint-François,Rue des Glaces Nationales 162 ,5060,504505829,46210042,Maternel ordinaire
Ecole fondamentale libre Saint-François,Rue des Glaces Nationales 162 ,5060,504505829,46210042,Primaire ordinaire
Ecole fondamentale libre Saint-François,Rue du Pont à Biesmes 35 ,5060,504445755,46356565,Maternel ordinaire
Ecole fondamentale libre Saint-François,Rue du Pont à Biesmes 35 ,5060,504445755,46356565,Primaire ordinaire
Ecole fondamentale libre Saint-François II,Rue du Villez 82 ,5060,504685033,46168220,Maternel ordinaire
Ecole fondamentale libre Saint-François II,Rue du Villez 82 ,5060,504685033,46168220,Primaire ordinaire
Ecole primaire libre - Externat Saint-Joseph,Rue des Canadiens 16 ,7022,504380365,39600241,Primaire ordinaire
Ecole primaire libre - Externat Saint-Joseph,Rue des Clercs 34 ,7000,504533782,39494294,Primaire ordinaire
Ecole primaire libre - Externat Saint-Joseph,Rue des Dominicains 15 ,7000,504573505,39505220,Primaire ordinaire
Ecole primaire libre - Externat Saint-Joseph,Rue de la Cascade 1 ,7022,504393397,39607960,Primaire ordinaire
Ecole maternelle Saint-Joseph,Chaussée de Maubeuge 427 ,7022,504232874,39477515,Maternel ordinaire
Ecole maternelle Saint-Joseph,Rue des Gades 2 ,7000,504537451,39503343,Maternel ordinaire
Ecole primaire libre Saint-Joseph de Hyon,Rue des Canadiens 16 ,7022,504380365,39600241,Primaire ordinaire
Ecole primaire Maria Assumpta,Avenue Wannecouter 115 ,1020,508987938,43617761,Primaire ordinaire
Ecole fondamentale Maria-Assumpta - Sainte-Elisabeth,Rue de Beyseghem 174 ,1120,508955380,43746254,Maternel ordinaire
Ecole fondamentale Maria-Assumpta - Sainte-Elisabeth,Rue de Beyseghem 174 ,1120,508955380,43746254,Primaire ordinaire
Ecole maternelle libre Tongre-Notre-Dame,Rue de la Ladrerie 4 ,7951,505855360,37768726,Maternel ordinaire
Ecole fondamentale libre Le Petit Collège,Rue des Masures 21 ,7130,504101825,41637540,Maternel ordinaire
Ecole fondamentale libre Le Petit Collège,Rue des Masures 21 ,7130,504101825,41637540,Primaire ordinaire
Ecole fondamentale libre Institut du Sacré-Coeur,Rue de Robiano 44 ,7130,504104578,41687362,Maternel ordinaire
Ecole fondamentale libre Institut du Sacré-Coeur,Rue de Robiano 44 ,7130,504104578,41687362,Primaire ordinaire
