lieu de domicile,,,1000,1020,1030,1040,1050,1060,1070,1080,1081,1082,1083,1090,1120,1130,1140,1150,1160,1170,1180,1190,1200,1210,Total
maternelle,,,  3968,  2400,  4343,  1472,  2212,  1379,  4199,  3341,   797,   531,   836,  1994,   702,   198,  1143,  1724,   956,   852,  3770,  1945,  2787,   844,  42393
primaire,,,  6503,  5344,  7180,  2595,  3337,  2151,  6827,  5030,  1181,   873,  1692,  3384,   831,   378,  1804,  2677,  2013,  1299,  6732,  3042,  4300,  1303,  70476
