91143,Vresse-sur-Semois,80
92003,Andenne,1016
92006,Assesse,319
92035,Eghezée,593
92045,Floreffe,314
92048,Fosses-la-Ville,343
92054,Gesves,253
92087,Mettet,475
92094,Namur,4485
92097,Ohey,184
92101,Profondeville,407
92114,Sombreffe,429
92137,Sambreville,1157
92138,Fernelmont,362
92140,Jemeppe-sur-Sambre,648
92141,La Bruyère,496
92142,Gembloux,1046
93010,Cerfontaine,150
93014,Couvin,558
93018,Doische,107
93022,Florennes,415
93056,Philippeville,400
93088,Walcourt,565
93090,Viroinval,181
