,,,,,,,,,
nummer_instelling,naam instelling,adres,fusiegemeente,postnummer,Gewoon kleuteronderwijs,Gewoon lager onderwijs,Buitengewoon kleuteronderwijs,Buitengewoon lager onderwijs,Totaal
6916,Vrije Lagere School,Kluizeveldenstraat 104_B,Antwerpen,2170,,191,,,191
6924,Vrije Kleuterschool,Terlindenhofstraat 220  ,Antwerpen,2170,260,,,,260
6932,Vrije Basisschool -           Sint-Eduardus,Broeder Frederikstraat 3    ,Antwerpen,2170,170,368,,,538
6941,Gemeentelijke Basisschool,Borrewaterstraat 70   ,Antwerpen,2170,155,137,,,292
6965,Vrije Basisschool,Oorderseweg 8    ,Antwerpen,2180,123,119,,,242
6973,Vrije Lagere School,Alfons Jeurissenstraat 13   ,Antwerpen,2180,,269,,,269
6981,Vrije Basisschool,Leugenberg 143  ,Antwerpen,2180,81,137,,,218
6999,Vrije Basisschool,Prinshoeveweg 44   ,Antwerpen,2180,129,215,,,344
7005,Vrije Basisschool,Frans Standaertlei 54   ,Antwerpen,2180,83,99,,,182
7013,Vrije Basisschool,Waterstraat 16   ,Antwerpen,2180,100,175,,,275
7021,Vrije Lagere School -         Zilverenhoek                  Maria Immaculata,Zilverenhoeklaan 2    ,Kapellen,2950,,262,,,262
7062,Vrije Basisschool -           De Putse Knipoog,Partizanenstraat 5    ,Kapellen,2950,207,276,,,483
7096,Gemeentelijke Lagere School - De Platanen,Bauwinlaan 1    ,Kapellen,2950,,166,,,166
7104,Vrije Basisschool,Dorpsstraat 61   ,Stabroek,2940,205,321,,,526
7112,Vrije Basisschool,Hoge Weg 15   ,Stabroek,2940,97,151,,,248
7121,Gemeentelijke Basisschool -   De Rekke,Eduard de Beukelaerlaan 2    ,Stabroek,2940,165,237,,,402
7138,Gemeentelijke Basisschool -   De Hoedjes van Papier,Maarschalk Montgomerylaan 15   ,Antwerpen,2100,204,,,,204
7153,Gemeentelijke Kleuterschool - Bischoppenhof,Maria de Heeltstraat 114  ,Antwerpen,2100,210,,,,210
7179,Gemeentelijke Kleuterschool - Koeienschooltje,Haviklaan 2    ,Antwerpen,2100,175,,,,175
7187,Gemeentelijke Basisschool,Borsbeeksesteenweg 128  ,Antwerpen,2100,183,,,,183
7195,Gemeentelijke Basisschool -   Het baronneke,Baron Leroystraat 31   ,Antwerpen,2100,115,243,,,358
7229,Gemeentelijke Basisschool -   Kriebel,Confortalei 173  ,Antwerpen,2100,151,182,,,333
7237,Gemeentelijke basisschool -   De Mozaïek,Silsburgstraat 83   ,Antwerpen,2100,91,122,,,213
7245,Gemeentelijke Basisschool,Albert Bevernagelei 65   ,Antwerpen,2100,122,155,,,277
7252,Gemeentelijke Basisschool -   De Kangoeroe,Ruggeveldlaan 699  ,Antwerpen,2100,159,275,,,434
7261,Gemeentelijke Basisschool -   De Speelvogel,Schotensesteenweg 138  ,Antwerpen,2100,181,117,,,298
7294,Gemeentelijke Basisschool -   Inpeeri@,De Gryspeerstraat 84   ,Antwerpen,2100,124,168,,,292
7311,Vrije Basisschool -           Sint-Rumoldus,Paulus Beyestraat 153  ,Antwerpen,2100,194,274,,,468
7328,Vrije Basisschool -           Mariagaarde - De Linde,Griffier Schobbenslaan 45   ,Antwerpen,2140,161,175,,,336
7336,Vrije Basisschool -           Drakenhof,Drakenhoflaan 242  ,Antwerpen,2100,147,292,,,439
7344,Vrije Basisschool -           Sancta Maria,Pieter De Ridderstraat 5    ,Antwerpen,2100,225,291,,,516
7369,Vrije Basisschool,Antoon Van den Bosschelaan 145  ,Antwerpen,2100,97,144,,,241
7377,Vrije Basisschool -           Heilig Hart,Seraphin de Grootestraat 120  ,Antwerpen,2100,168,267,,,435
7401,Vrije Basisschool - Immaculata,Van Dornestraat 125  ,Antwerpen,2100,230,295,,,525
7419,Vrije Basisschool - Don Bosco,Kasteellei 77_B ,Wijnegem,2110,39,85,,,124
7427,Vrije Basisschool -           Basisoefenschool,Turnhoutsebaan 430  ,Wijnegem,2110,206,364,,,570
7443,Gemeentelijke Lagere School,Bergenstraat 2    ,Wijnegem,2110,,258,,,258
7451,Vrije Basisschool -           Sint-Filippus,Wijngaardlaan 7    ,Schoten,2900,82,135,,,217
7468,Vrije Basisschool 1 -         Sint-Cordula,Vordensteinstraat 32   ,Schoten,2900,129,113,,,242
7476,Vrije Basisschool -           Sint-Eduardus,Marialei 2    ,Schoten,2900,161,108,,,269
7484,Vrije Basisschool -           Heilige-Familie,Laaglandlei 20   ,Schoten,2900,107,169,,,276
7492,Vrije Basisschool -           Sint-Ludgardis,Sint-Maria-ten-Boslei 10   ,Schoten,2900,252,414,,,666
7501,Vrije Basisschool 1 -         Bloemendaal,Paalstraat 309  ,Schoten,2900,64,119,,,183
7526,Vrije Basisschool 1 -         Maria-Middelares,Hogebaan 2    ,Brecht,2960,139,205,,,344
7542,Gemeentelijke Basisschool -   Heide,Bredabaan 1093 ,Brasschaat,2930,102,179,,,281
7559,Gemeentelijke Lagere School - Kaart,Leeuwenstraat 50   ,Brasschaat,2930,,227,,,227
7567,Gemeentelijke Basisschool -   Mariaburg,Annadreef 7    ,Brasschaat,2930,150,237,,,387
7583,Vrije Basisschool -           Mater Dei Driehoek,Heislag 35   ,Brasschaat,2930,73,102,,,175
7591,Vrije Basisschool -           Mater Dei,della Faillestraat 16   ,Brasschaat,2930,142,174,,,316
7609,Vrije Basisschool -           De Vlinder,Lage Kaart 266  ,Brasschaat,2930,54,95,,,149
7617,Vrije Basisschool -           Sint-Ludgardis,Donksesteenweg 150  ,Brasschaat,2930,147,215,,,362
7633,Vrije Basisschool,Baillet-Latourlei 107_A,Brasschaat,2930,215,260,,,475
7641,Vrije Basisschool -           Mater Dei,Zegersdreef 66   ,Brasschaat,2930,137,155,,,292
7658,Vrije Lagere School -         Sint-Michielscollege,Kapelsesteenweg 74   ,Brasschaat,2930,,216,,,216
7674,Gemeentelijke Basisschool -   De Horizon,Sint Jozeflei 18   ,Malle,2390,81,104,,,185
7682,Vrije Basisschool -           Sint-Jan Berchmanscollege,Kasteellaan 18   ,Malle,2390,83,384,,,467
7708,Vrije Basisschool -           Mariagaarde,Oude Molenstraat 11   ,Malle,2390,135,123,,,258
7716,Vrije Lagere School -         Immaculata,Hoogstraatsebaan 2    ,Malle,2390,,326,,,326
7724,Vrije Basisschool -           Triangel,Hoogstraat 19   ,Beerse,2340,126,173,,,299
7732,Vrije Basisschool -           Lentekind,Hoogstraat 13   ,Beerse,2340,18,21,,,39
7741,Vrije Basisschool -           't Klavernest,Oostmalsebaan 37   ,Lille,2275,161,221,,,382
7757,Gemeentelijke Basisschool -   De Kiekeboes,Kerkstraat 7    ,Zoersel,2980,78,128,,,206
7765,Vrije Basisschool - Sint-     Elisabethschool,Zandstraat 39   ,Zoersel,2980,146,226,,,372
7773,Gemeentelijke Basisschool -   Beuk & Noot,Ter Beuken 1    ,Zoersel,2980,215,338,,,553
7781,Gemeentelijke Basisschool -   De Sleutelbloem,Schoolplein 2    ,Brecht,2960,175,265,,,440
7799,Vrije Lagere School -         Sint-Michiel,Venusstraat 5    ,Brecht,2960,,261,,,261
7807,Vrije Basisschool -           Sint-Antonius,Handelslei 72   ,Zoersel,2980,173,239,,,412
7823,Vrije Basisschool -           Leonardus,Dorpsstraat 12   ,Brecht,2960,113,197,,,310
7831,Gemeentelijke Lagere School - De Wissel,Dorpsstraat 5    ,Wuustwezel,2990,,166,,,166
7849,Vrije Basisschool -           Sterbos,Nieuwmoerse Steenweg 80   ,Wuustwezel,2990,112,166,,,278
7856,Vrije Basisschool -           't Kantoor,Bredabaan 124  ,Wuustwezel,2990,61,96,,,157
7864,Vrije Basisschool -           Mater Dei Gooreind,Oude Baan 92   ,Wuustwezel,2990,189,151,,,340
7872,Vrije Basisschool -           Triangel,Kloosterstraat 7    ,Wuustwezel,2990,150,111,,,261
7881,Gemeentelijke Basischool -    't Blokje,Kerkblokstraat 16   ,Wuustwezel,2990,154,258,,,412
7906,Vrije Basisschool -           Sint-Jozef,Heidestatieplein 6    ,Kalmthout,2920,157,279,,,436
7914,Vrije Basisschool - den Heuvel,Heuvel 37   ,Kalmthout,2920,132,285,,,417
7922,Vrije Basisschool -           De Linde,Achterbroeksteenweg 190  ,Kalmthout,2920,67,109,,,176
7931,Vrije Basisschool -           Zonnekind,Zonnekinddreef 8    ,Kalmthout,2920,60,112,,,172
7955,Gemeentelijke Basisschool -   Kadrie,Driehoekstraat 41   ,Kalmthout,2920,157,187,,,344
7963,Gemeentelijke Basisschool -   Maatjes,Nieuwmoer-Dorp 10   ,Kalmthout,2920,85,117,,,202
7971,Vrije Lagere School -         Mariaberg,Kloosterstraat 76   ,Essen,2910,,350,,,350
7989,Vrije Lagere School -         Sint-Jozef,Maststraat 2_A  ,Essen,2910,,192,,,192
7997,Vrije Basisschool -           Vincentius,Horendonk 265  ,Essen,2910,76,135,,,211
8003,Vrije Lagere School - College Essen,Rouwmoer 7    ,Essen,2910,,198,,,198
8011,Vrije Kleuterschool -         Mariaberg,Grensstraat 14   ,Essen,2910,396,,,,396
8029,Gemeentelijke Basisschool -   WIGO Sint-Jan,De Vondert 10   ,Essen,2910,183,213,,,396
8045,Vrije Basisschool - Mozaïek,Schoenstraat 41   ,Antwerpen,2140,129,221,,,350
8052,Vrije Basisschool,Turnhoutsebaan 79   ,Antwerpen,2140,199,259,,,458
8061,Vrije Basisschool -           Sint-Franciscus,Berchemlei 93   ,Antwerpen,2140,165,231,,,396
8086,Vrije Lagere School -         Xaveriuscollege,Collegelaan 36   ,Antwerpen,2140,,445,,,445
8094,Gemeentelijke Kleuterschool,Te Boelaarpark 3    ,Antwerpen,2140,368,,,,368
8102,Gemeentelijke Lagere School,Te Boelaarpark 5    ,Antwerpen,2140,,369,,,369
8111,Gemeentelijke Basisschool,Vinçottestraat 44   ,Antwerpen,2140,182,184,,,366
8128,Gemeentelijke Basisschool -   Floraschool,Florastraat 120  ,Antwerpen,2140,164,169,,,333
8136,Gemeentelijke Lagere School,Arthur Matthyslaan 82   ,Antwerpen,2140,,271,,,271
8144,Gemeentelijke Basisschool -   De Horizon,Betogingstraat 9    ,Antwerpen,2140,162,149,,,311
8151,Vrije Basisschool,de Robianostraat 11   ,Borsbeek,2150,209,367,,,576
8169,Gemeentelijke Basisschool,Jan Frans Stynenlei 8_B  ,Borsbeek,2150,164,329,,,493
8177,Gemeentelijke Basisschool -   't Laar,Maria Clarastraat 60   ,Wommelgem,2160,120,184,,,304
8185,Vrije Basisschool -           Sint-Johannaschool,Torenstraat 30   ,Wommelgem,2160,162,300,,,462
8201,Gemeentelijke Lagere School - De Knipoog,Schoolstraat 17   ,Ranst,2520,,122,,,122
8219,Vrije Basisschool -           Annuncia-Instituut,Gasthuisstraat 19_A ,Ranst,2520,220,198,,,418
8243,Vrije Basisschool -           Sint-Ludgardis,Heidedreef 82   ,Schilde,2970,223,405,,,628
8251,Vrije Kleuterschool -         Wonderwijzer,Kleinveldweg 2_A  ,Schilde,2970,175,,,,175
8268,Gemeentelijke Lagere School   De Driehoek,Schildesteenweg 12   ,Ranst,2520,,114,,,114
8276,Vrije Basisschool -           Sint-Lucia,Venusstraat 3    ,Ranst,2520,133,98,,,231
8284,Vrije Basisschool -           Heilig-Hart,Oudaen 72   ,Schilde,2970,132,167,,,299
8292,Gemeentelijke Lagere School - De Wingerd,Frans Pauwelslei 19   ,Schilde,2970,,124,,,124
8301,Gemeentelijke Basisschool,Amelbergastraat 40   ,Zandhoven,2240,165,227,,,392
8326,Vrije Basisschool,Kloosterstraat 7    ,Zandhoven,2243,97,120,,,217
8334,Vrije Basisschool - De Spring-plank,Kapelstraat 19   ,Ranst,2520,141,120,,,261
8342,Gemeentelijke Lagere School - De Sleutel,Lostraat 51   ,Ranst,2520,,123,,,123
8359,Gemeentelijke Basisschool,Kerkstraat 37   ,Zandhoven,2240,54,85,,,139
8367,Vrije Basisschool - Klavertje 4-sel,Veerstraat 59   ,Zandhoven,2240,54,43,,,97
8375,Vrije Basisschool,Kloosterstraat 1    ,Ranst,2520,119,205,,,324
8383,Gemeentelijke Basisschool,Kerkeblokken 7    ,Nijlen,2560,81,152,,,233
8391,Vrije Basisschool -           Sint-Calasanz,Nonnenstraat 21   ,Nijlen,2560,145,245,,,390
8409,Vrije Basisschool -           De Zandloper,Zandlaan 46   ,Nijlen,2560,80,100,,,180
8425,Gemeentelijke Basisschool -   Klim-op,Albertstraat 8    ,Herenthout,2270,138,225,,,363
8433,Vrije Lagere School -         De Luchtballon,Schoetersstraat 22   ,Herenthout,2270,,209,,,209
8441,Vrije Kleuterschool -         De Luchtballon,Zusterstraat 1    ,Herenthout,2270,151,,,,151
8458,Vrije Basisschool -           Mariaschool,Bergstraat 12   ,Grobbendonk,2280,83,149,,,232
8466,Gemeentelijke Basisschool,Bovenpad 7    ,Grobbendonk,2280,80,120,,,200
8474,Vrije Basisschool -           Klavertjedrie,Dorp 57   ,Grobbendonk,2288,59,111,,,170
8482,Vrije Lagere School -         Windekind,Markt 19   ,Vorselaar,2290,,304,,,304
8491,Gemeentelijke Basisschool -   De Knipoog,Cardijnlaan 10   ,Vorselaar,2290,96,135,,,231
8508,Vrije Basisschool -           Sint-Victor,Begijnendreef 27   ,Turnhout,2300,133,123,,,256
8532,Vrije Basisschool -           Heilig Graf,Nijverheidstraat 11   ,Turnhout,2300,74,114,,,188
8541,Vrije Basisschool,Apostoliekenstraat 26   ,Turnhout,2300,124,226,,,350
8557,Vrije Basisschool -           Heilig Graf,Tramstraat 36   ,Turnhout,2300,124,149,,,273
8565,Vrije Lagere School -         Sint-Jozefcollege,Pieter De Nefstraat 4    ,Turnhout,2300,,213,,,213
8573,Vrije Basisschool -           Sint-Jozefcollege,Koningin Astridlaan 33   ,Turnhout,2300,161,296,,,457
8599,Vrije Basisschool - Sint-     Pietersinstituut Zevendonk,Kapelweg 56   ,Turnhout,2300,99,181,,,280
8607,Vrije Basisschool,Jubileumlaan 1    ,Turnhout,2300,201,343,,,544
8615,Vrije Kleuterschool,Beekstraat 3    ,Turnhout,2300,156,,,,156
8649,Vrije Basisschool -           Het Kompas,Past. Lambrechtsstraat 3    ,Rijkevorsel,2310,139,173,,,312
8656,Vrije Lagere School -         Sint-Luciaschool,Molenstraat 7    ,Rijkevorsel,2310,,214,,,214
8664,Vrije Kleuterschool -         Het Moleke,Banmolenweg 9    ,Rijkevorsel,2310,324,,,,324
8672,Gemeentelijke Lagere School - De Wegwijzer,Leopoldstraat 1    ,Rijkevorsel,2310,,227,,,227
8681,Vrije Basisschool -           Spijker,Antoon de Lalaingstraat 3_a  ,Hoogstraten,2320,121,221,,,342
8698,Vrije Basisschool -           Klein-Seminarie,Vrijheid 234  ,Hoogstraten,2320,100,157,,,257
8706,Gemeentelijke Basisschool,Gravin Elisabethlaan 21   ,Hoogstraten,2320,100,190,,,290
8714,Gemeentelijke Basisschool -   Meer/Meersel-Dreef,Kapelweg 2    ,Hoogstraten,2328,151,56,,,207
8722,Vrije Basisschool -           Scharrel,Witherenweg 2    ,Hoogstraten,2322,181,259,,,440
8731,Vrije Basisschool -           De Klimtoren,Ulicotenseweg 1    ,Hoogstraten,2328,96,170,,,266
8748,Gemeentelijke Basisschool -   Qworzo,Markt 17   ,Merksplas,2330,170,223,,,393
8755,Vrije Basisschool,Kloosterstraat 4    ,Merksplas,2330,77,163,,,240
8763,Vrije Basisschool -           De Vlinder,Kerkstraat 6    ,Baarle-Hertog,2387,131,223,,,354
8771,Gemeentelijke Basisschool,Schoolstraat 4    ,Beerse,2340,93,221,,,314
8789,Gemeentelijke Basisschool,Albertstraat 1    ,Beerse,2340,172,292,,,464
8813,Vrije Lagere School -         Heilig Graf,Bergakker 4    ,Vosselaar,2350,,308,,,308
8821,Vrije Kleuterschool -         Heilig Graf,Bergakker 4    ,Vosselaar,2350,197,,,,197
8839,Gemeentelijke Basisschool -   Centrum,Konijnenbergpad 5    ,Vosselaar,2350,87,127,,,214
8847,Vrije Basisschool - Delta,Van der Bekenlaan 40   ,Oud-Turnhout,2360,134,206,,,340
8854,Vrije Basisschool - Reuzepas,Heerestraat 140  ,Oud-Turnhout,2360,140,281,,,421
8862,Vrije Basisschool -           Zwaneven,Steenweg op Mol 157  ,Oud-Turnhout,2360,101,173,,,274
8871,Gemeentelijke Basisschool -   Salto,Pausenstraat 9    ,Oud-Turnhout,2360,109,107,,,216
8888,Gemeentelijke Basisschool -   Sint-Jan,Kerkstraat 11   ,Arendonk,2370,175,315,,,490
8896,Gemeentelijke Basisschool -   Voorheide,De Brulen 2    ,Arendonk,2370,146,192,,,338
8904,Vrije Basisschool -           Sint-Clara,Kloosterbaan 1    ,Arendonk,2370,217,269,,,486
8912,Gemeentelijke Basisschool -   De Kleine Wereld,Kerkstraat 24   ,Ravels,2380,167,236,,,403
8953,Gemeentelijke Basisschool,Koning Albertstraat 59   ,Ravels,2381,197,301,,,498
8961,Vrije Basisschool -           De Negensprong,Dorp 2    ,Ravels,2382,119,226,,,345
8987,Gemeentelijke Basisschool -   Klimop,Ginderbuiten 212  ,Mol,2400,128,127,,,255
8995,Gemeentelijke Basisschool -   Ezaart,St.-Willebrordusstraat 10   ,Mol,2400,171,205,,,376
9001,Vrije Lagere School -         Sint-Jan Berchmanscollege,Jakob Smitslaan 36   ,Mol,2400,,213,,,213
9019,Vrije Lagere School -         Rozenberg,Rozenberg 2    ,Mol,2400,,205,,,205
9027,Vrije Basisschool - Wezel 1,Keiheuvelstraat 7_A  ,Mol,2400,71,127,,,198
9035,Vrije Basisschool - De Toren,Jozef Calasanzstraat 2    ,Mol,2400,70,128,,,198
9043,Vrije Basisschool -           Millekemol,St.-Odradastraat 40   ,Mol,2400,122,180,,,302
9051,Gemeentelijke Basisschool -   Gompel,Pastoor Vaesstraat 24   ,Mol,2400,70,99,,,169
9068,Vrije Basisschool,Sluis 156  ,Mol,2400,102,127,,,229
9084,Vrije Kleuterschool,Rozenberg 4    ,Mol,2400,196,,,,196
9134,Vrije Basisschool -           Wijngaard,Wijngaard 9    ,Herentals,2200,165,208,,,373
9159,Vrije Basisschool -           De Springplank,Hoeksken 30   ,Lille,2275,171,180,,,351
9167,Gemeentelijke Basisschool -   Het Trapleerke,Rechtestraat 69   ,Lille,2275,20,110,,,130
9175,Vrije Basisschool -           De Wingerd,Wijngaard 11   ,Lille,2275,87,154,,,241
9183,Vrije Basisschool -           't Klavertje,Ring 59_1 ,Herentals,2200,160,218,,,378
9191,Vrije Basisschool -           De Wegwijzer,Streepstraat 2    ,Herentals,2200,98,155,,,253
9209,Vrije Kleuterschool -         De Kleine Sint-Jan,Sint Jozefstraat 12   ,Heist-op-den-Berg,2222,129,,,,129
9217,Vrije Lagere School - Sint-Jan,Paradijzen 16   ,Heist-op-den-Berg,2222,,190,,,190
9233,Vrije Basisschool -           De Knipoog,Stationsstraat 1    ,Olen,2250,110,177,,,287
9241,Vrije Basisschool -           Toermalijn,Lichtaartseweg 129  ,Olen,2250,103,149,,,252
9258,Gemeentelijke Basisschool -   De Kleine Wijzer,Drogebroodstraat 5    ,Olen,2250,95,164,,,259
9266,Gemeentelijke Basisschool -   De Kriebel,Schoolstraat 1    ,Olen,2250,180,171,,,351
9282,Vrije Basisschool -           Sint-Dimpna,Laar 1    ,Geel,2440,137,152,,,289
9291,Vrije Basisschool -           Sint-Hubertus,Aardseweg 2    ,Geel,2440,114,158,,,272
9308,Vrije Basisschool -           top@punt,Vogelzang 64   ,Geel,2440,60,89,,,149
9324,Vrije Basisschool -           De Regenboog,Kapelstraat 24   ,Geel,2440,165,271,,,436
9341,Gemeentelijke Basisschool -   De Burgstraat,Burgstraat 23   ,Geel,2440,126,185,,,311
9357,Gemeentelijke Basisschool -   Geel-Zuid,Zammelseweg 183  ,Geel,2440,102,172,,,274
9365,Gemeentelijke Basisschool -   Winkelomheide,Winkelomseheide 147  ,Geel,2440,96,122,,,218
9373,Vrije Basisschool - De Omnibus,Tielendorp 43   ,Kasterlee,2460,123,185,,,308
9381,Gemeentelijke Basisschool -   De Pagadder,Schoolstraat 33   ,Kasterlee,2460,74,115,,,189
9399,Vrije Basisschool - De Parel,Kloosterstraat 2_A  ,Kasterlee,2460,86,246,,,332
9407,Vrije Kleuterschool -         't Bosvriendje,Poederleesteenweg 67   ,Kasterlee,2460,79,,,,79
9423,Gemeentelijke Basisschool,Schoolstraat 43   ,Lille,2275,132,228,,,360
9431,Gemeentelijke Basisschool -   De Vlieger,Mgr. Heylenstraat 22   ,Kasterlee,2460,119,259,,,378
9449,Vrije Lagere School -         De Waaier,Mgr. Cardijnstraat 39   ,Kasterlee,2460,,189,,,189
9456,Vrije Kleuterschool -         De Klimtoren,Boslaan 2    ,Kasterlee,2460,118,,,,118
9464,Vrije Kleuterschool -         Hoeven,Bos en Bremdreef 4    ,Kasterlee,2460,27,,,,27
9472,Gemeentelijke Basisschool,Peperstraat 24   ,Retie,2470,137,384,,,521
9481,Vrije Basisschool -           Trapop,Laarstraat 1    ,Retie,2470,129,258,,,387
9498,Vrije Kleuterschool -         Spelewei,Hodonk 35   ,Retie,2470,139,,,,139
9506,Vrije Basisschool -           Weg-Wijzer,Hannekestraat 22   ,Dessel,2480,128,202,,,330
9514,Gemeentelijke Basisschool -   De Kangoeroe,Lorzestraat 37   ,Dessel,2480,115,142,,,257
9522,Gemeentelijke Basisschool -   De Meikever,Meistraat 148  ,Dessel,2480,117,149,,,266
9531,Gemeentelijke Basisschool -   De Bosmier,Streekweg 11   ,Balen,2490,91,136,,,227
9548,Gemeentelijke Basisschool -   Schoor,St.-Rochusstraat 91   ,Balen,2490,128,177,,,305
9555,Gemeentelijke Basisschool -   De Bijenkorf,Haverstraat 6    ,Balen,2490,104,152,,,256
9563,Vrije Basisschool,Gustaaf Woutersstraat 31   ,Balen,2490,147,217,,,364
9589,Vrije Basisschool -           Klavertje 4,Schoolstraat 3    ,Balen,2491,177,217,,,394
9597,Vrije Kleuterschool,Mechelsestraat 25   ,Lier,2500,184,,,,184
9605,Vrije Basisschool -           Heilige Familie,Kesselsesteenweg 1    ,Lier,2500,119,178,,,297
9639,Vrije Lagere School -         Sint-Ursula,Mechelsestraat 25   ,Lier,2500,,255,,,255
9647,Vrije Basisschool -           Sint-Ursula-Lisp,Frankenweg 6    ,Lier,2500,100,158,,,258
9654,Vrije Basisschool -           Sint-Ursula,Rode-Kruislaan 1    ,Lier,2500,69,118,,,187
9662,Vrije Basisschool -           Het Spoor,Spoorweglei 6    ,Lier,2500,140,141,,,281
9671,Gemeentelijke Basisschool -   Goezo !,Kessel-Dorp 42_A ,Nijlen,2560,61,119,,,180
9688,Vrije Basisschool - De Ceder,Emblemsesteenweg 1_A  ,Nijlen,2560,111,179,,,290
9696,Vrije Basisschool - Kinderpad,Kinderpad 1    ,Nijlen,2560,74,142,,,216
9704,Gemeentelijke Basisschool -   Sint-Lutgardis,Mechelsesteenweg 30   ,Mortsel,2640,101,134,,,235
9712,Gemeentelijke Kleuterschool - De Perenpit,Van Peborghlei 26   ,Mortsel,2640,178,,,,178
9753,Vrije Basisschool -           Rozenregen,Sint-Reinhildisstraat 15_B ,Mortsel,2640,75,123,,,198
9761,Vrije Basisschool -           Sint-Jozef,Liersesteenweg 314  ,Mortsel,2640,141,161,,,302
9787,Vrije Lagere School - De Link,Patronaatstraat 21   ,Edegem,2650,,179,,,179
9803,Vrije Basisschool -           OLVE-Basisschool,Rombaut Keldermansstraat 33   ,Edegem,2650,142,342,,,484
9829,Vrije Kleuterschool - Familia,Pieter van Maldereplein 8    ,Edegem,2650,343,,,,343
9837,Gemeentelijke Basisschool -   Andreas Vesalius, Gemeenteplein 3    ,Edegem,2650,166,270,,,436
9845,Gemeentelijke Basisschool -   Jan Frans Willems,Hovesesteenweg 1    ,Boechout,2530,143,266,,,409
9852,Vrije Basisschool -           Sint-Gabriëlcollege,Lange Kroonstraat 72   ,Boechout,2530,163,310,,,473
9894,Vrije Basisschool,Dorpsplaats 5    ,Boechout,2531,137,237,,,374
9902,Vrije Lagere School -         Regina Pacis,Mortselsesteenweg 70   ,Hove,2540,,401,,,401
9911,Gemeentelijke Basisschool -   Albrecht Rodenbach,Onderwijsstraat 19   ,Hove,2540,155,215,,,370
9928,Vrije Basisschool -           Mater Christi,Statiestraat 45   ,Lint,2547,153,241,,,394
9936,Gemeentelijke Basisschool,Duffelsesteenweg 48   ,Lint,2547,97,113,,,210
9944,Gemeentelijke Basisschool -   Abraham Hans,Molenstraat 32   ,Kontich,2550,75,111,,,186
9969,Vrije Lagere School -         Altena Instituut,Antwerpsesteenweg 73   ,Kontich,2550,,396,,,396
9977,Vrije Basisschool,Gemeenteplein 8    ,Kontich,2550,160,198,,,358
9993,Vrije Basisschool - Vosberg,Pastoor Slegersstraat 1    ,Rumst,2840,84,97,,,181
10009,Vrije Basisschool - Sleutelhof,Kerkstraat 9    ,Rumst,2840,110,134,,,244
10017,Gemeentelijke Basisschool -   Ter Doelhagen,Doelhaagstraat 4    ,Rumst,2840,77,113,,,190
10025,GO! basisschool De Zonnebergen Walem,Pastorijstraat 84   ,Mechelen,2800,128,166,,,294
10033,Gemeentelijke Basisschool -   't Kompas,Nieuwstraat 11_B ,Duffel,2570,95,150,,,245
10041,Gemeentelijke Lagere School - De Meyl,Mijlstraat 91   ,Duffel,2570,,152,,,152
10058,Gemeentelijke Basisschool -   't Kofschip,Kwakkelenberg 53   ,Duffel,2570,106,188,,,294
10066,Vrije Basisschool -           De Basis,Kwakkelenberg 5    ,Duffel,2570,68,134,,,202
10074,Vrije Kleuterschool,Stationsstraat 2    ,Duffel,2570,258,,,,258
10082,Vrije Basisschool,Oude Baan 1    ,Kontich,2550,87,160,,,247
10091,Vrije Basisschool,Schoolstraat 10   ,Lier,2500,80,126,,,206
10108,Vrije Basisschool,Albertstraat 38   ,Sint-Katelijne-Waver,2860,147,213,,,360
10116,Gemeentelijke Basisschool -   G.L.O.C.,Daliastraat 35   ,Sint-Katelijne-Waver,2860,156,236,,,392
10124,Gemeentelijke Basisschool -   Octopus,Clemenceaustraat 115  ,Sint-Katelijne-Waver,2860,111,164,,,275
10132,Gemeentelijke Basisschool -   Dijkstein,Maanhoeveweg 33   ,Sint-Katelijne-Waver,2860,237,364,,,601
10141,Vrije Basisschool -           Sint-Katarina,Generaal Deschachtstraat 18   ,Sint-Katelijne-Waver,2860,120,134,,,254
10165,Vrije Basisschool,Pastorijstraat 3    ,Berlaar,2590,137,262,,,399
10173,Vrije Basisschool,Ballaarweg 1    ,Berlaar,2590,124,156,,,280
10181,Gemeentelijke Basisschool,Aarschotsebaan 60   ,Berlaar,2590,148,230,,,378
10223,Gemeentelijke Basisschool,Markgravelei 149  ,Antwerpen,2018,103,143,,,246
10231,Gemeentelijke Basisschool -   Het Palet,Ramskapellestraat 43   ,Antwerpen,2600,141,140,,,281
10249,Gemeentelijke Basisschool -   Leopold III,Mellinetplein 13   ,Antwerpen,2600,139,161,,,300
10256,Gemeentelijke Basisschool,Flor Alpaertsstraat 45   ,Antwerpen,2600,141,205,,,346
10264,Gemeentelijke Basisschool,Jozef Balstraat 6    ,Antwerpen,2600,168,140,,,308
10306,Vrije Lagere School -         O.-L.-Vrouwinstituut,Grotesteenweg 489  ,Antwerpen,2600,,537,,,537
10314,Vrije Basisschool - De        Schatkist,Ferdinand Coosemansstraat 17   ,Antwerpen,2600,158,207,,,365
10322,Vrije Lagere School -         Sint-Stanislascollege,Gustaaf Garittestraat 1    ,Antwerpen,2600,,335,,,335
10331,Vrije Basisschool,Jan Moorkensstraat 95   ,Antwerpen,2600,167,240,,,407
10348,Vrije Kleuterschool,Floraliënlaan 370_2,Antwerpen,2600,354,,,,354
10363,Vrije Basisschool - Neerland,Mogendhedenlaan 1    ,Antwerpen,2610,101,131,,,232
