,,,,,,,,,
nummer_instelling,naam instelling,adres,fusiegemeente,postnummer,Gewoon kleuteronderwijs,Gewoon lager onderwijs,Buitengewoon kleuteronderwijs,Buitengewoon lager onderwijs,Totaal
596,GO! basisschool De Zevensprong Nijlen,Albert Kanaalstraat 31   ,Nijlen,2560,63,92,,,155
604,GO! basisschool 't Klavertje Herenthout,Vonckstraat 44   ,Herenthout,2270,41,49,,,90
612,GO! basisschool De Wijngaard Grobbendonk,Wijngaardstraat 13   ,Grobbendonk,2280,30,47,,,77
621,GO! basisschool Kameleon Turnhout,Hertoginstraat 124  ,Turnhout,2300,130,185,,,315
638,GO! basisschool De Smiskens Turnhout,Smiskensstraat 58   ,Turnhout,2300,120,122,,,242
653,GO! basisschool 't Locomotiefje Beerse,Karel Van Nyenlaan 12   ,Beerse,2340,99,114,,,213
661,GO! basisschool De Wamp Arendonk,De Maaskens 10   ,Arendonk,2370,61,73,,,134
679,GO! basisschool De Zonnewijzer Ravels,Grote Baan 78   ,Ravels,2380,37,62,,,99
687,GO! basisschool Het Schrijvertje Mol,Guido Gezellestraat 10   ,Mol,2400,67,115,,,182
703,GO! basisschool De Vesten Herentals,Augustijnenlaan 31   ,Herentals,2200,128,200,,,328
711,GO! freinetschool De Vlindertuin Lille,Berg 10   ,Lille,2275,107,93,,,200
729,GO! basisschool Willem Tell Olen,Voortkapelseweg 2    ,Olen,2250,90,115,,,205
737,GO! basisschool De Luchtballon Geel,Lebonstraat 45   ,Geel,2440,146,193,,,339
752,GO! basisschool De Zevensprong Dessel,Netestraat 33   ,Dessel,2480,24,54,,,78
761,GO! basisschool Het Klepperke Balen,Boudewijnlaan 15_1 ,Balen,2490,69,81,,,150
794,GO! basisschool Het Molentje Lier,Eeuwfeestlaan 190  ,Lier,2500,121,201,,,322
802,GO! basisschool - Stadspark   Lier,Arthur Vanderpoortenlaan 35   ,Lier,2500,95,131,,,226
811,GO! basisschool Bisterveld Kessel,Nieuwstraat 26   ,Nijlen,2560,81,100,,,181
828,GO! basisschool De Borstel Mortsel,Hof van Riethlaan 3    ,Mortsel,2640,169,257,,,426
836,GO! basisschool 't Kofschip Edegem,Baron de Celleslaan 1    ,Edegem,2650,156,227,,,383
844,GO! basisschool 't Groen Schooltje Hove,Mortselsesteenweg 54   ,Hove,2540,99,172,,,271
851,GO! basisschool De Schans Kontich,Kruisschanslei 42   ,Kontich,2550,140,231,,,371
869,GO! basisschool Kiliaan Duffel,Rooienberg 52   ,Duffel,2570,180,182,,,362
877,GO! basisschool Berchlaer Berlaar,Zomerstraat 27   ,Berlaar,2590,114,129,,,243
885,GO! basisschool Parkschool Ieperman Wilrijk,Kerkelei 43   ,Antwerpen,2610,210,290,,,500
893,GO! basisschool Mercator Rupelmonde,Geeraard de Cremerstraat 91_A ,Kruibeke,9150,131,125,,,256
901,GO! basisschool De Blokkendoos Aartselaar,Leon Gilliotlaan 58   ,Aartselaar,2630,154,268,,,422
919,GO! basisschool De Hoeksteen Boom,Tuyaertsstraat 53   ,Boom,2850,112,158,,,270
927,GO! basisschool Park Boom,Van Leriuslaan 221  ,Boom,2850,192,401,,,593
935,GO! basisschool 't Kasteeltje Puurs,Molenstraat 7    ,Puurs,2870,123,204,,,327
943,GO! basisschool De Linde Bornem,Lindestraat 123_A,Bornem,2880,131,199,,,330
951,GO! basisschool De Schorre Sint-Amands,Jan Van Droogenbroeckstraat 49   ,Sint-Amands,2890,36,67,,,103
968,GO! basisschool De Klimroos-De Zonnebloem Temse,Clemens De Landtsheerlaan 3    ,Temse,9140,117,133,,,250
976,GO! basisschool De Tovertuin Sint-Niklaas,Slachthuisstraat 68   ,Sint-Niklaas,9100,123,101,,,224
984,GO! basisschool De Watertoren Sint-Niklaas,Watertorenstraat z/n  ,Sint-Niklaas,9100,168,254,,,422
1008,GO! basisschool Het Laar Zwijndrecht,Laarstraat 10   ,Zwijndrecht,2070,202,284,,,486
1016,GO! basisschool De Bever Beveren-Waas,Donkvijverstraat 30   ,Beveren,9120,59,95,,,154
1024,GO! basisschool Reynaert kruibeke,Kattestraat 68   ,Kruibeke,9150,101,106,,,207
1032,GO! basisschool De Bron De Klinge,Buitenstraat 2    ,Sint-Gillis-Waas,9170,80,83,,,163
1041,GO! basisschool De Zonnewijzer Kieldrecht,Beukenlaan 9    ,Beveren,9130,45,91,,,136
1057,GO! basisschool Hof Van Nassau Mechelen,Zandpoortvest 9    ,Mechelen,2800,110,164,,,274
1065,GO! basisschool GO! lyceum Mechelen,Caputsteenstraat 51   ,Mechelen,2800,149,184,,,333
1073,GO! basisschool Klim Op Bonheiden,Schoolstraat 10   ,Bonheiden,2820,135,228,,,363
1081,GO! basisschool van het Atheneum Keerbergen,Vlieghavenlaan 18   ,Keerbergen,3140,177,356,,,533
1099,GO! basisschool Alice Nahon Putte,Mechelbaan 559  ,Putte,2580,98,140,,,238
1107,GO! basisschool Dr. Jozef Weyns Beerzel,Jan De Cordesstr. 58   ,Putte,2580,114,171,,,285
1123,GO! basisschool Ter Berken Hofstade,Ambroossteenweg 13   ,Zemst,1981,158,245,,,403
1149,GO! basisschool Hertog Karel Wilsele,Hoogveldweg 5    ,Leuven,3012,176,233,,,409
1156,GO! basisschool De Bijenkorf Herent,Gebroeders Massantstraat 16   ,Herent,3020,157,127,,,284
1164,GO! basisschool Grasmus Heverlee,Jules Vandenbemptlaan 14   ,Leuven,3001,165,209,,,374
1172,GO! basisschool Hertog Jan Kortenberg,Kerkhoflaan 28   ,Kortenberg,3070,89,143,,,232
1181,GO! basisschool Ter Bronnen Kampenhout,Tiendeschuurstraat 17   ,Kampenhout,1910,124,205,,,329
1198,GO! basisschool Hof Van Riemen Heist-op-den-Berg,Frans Coeckelbergsstraat 17_A ,Heist-op-den-Berg,2220,112,168,,,280
1206,GO! basisschool De Cocon Tremelo,Veldonkstraat 10   ,Tremelo,3120,152,193,,,345
1222,GO! basisschool De Letterboom Herselt,Kerkstraat 10   ,Herselt,2230,38,63,,,101
1231,GO! basisschool De Beeltjens Westerlo,Spikdorenveld 22   ,Westerlo,2260,39,106,,,145
1248,GO! basisschool Regenboog Kessel-lo,Schoolstraat 2    ,Leuven,3010,85,135,,,220
1255,GO! basisschool De Winge Tielt-Winge,Halensebaan 16   ,Tielt-Winge,3390,89,141,,,230
1263,GO! basisschool Zonnedorp Aarschot,Bogaardenlaan 8    ,Aarschot,3200,102,118,,,220
1271,GO! basisschoo De Hoogvlieger Aarschot,Herseltsesteenweg 221  ,Aarschot,3200,75,97,,,172
1289,GO! basisschool Dol-fijn Rillaar,Ebdries 11   ,Aarschot,3202,100,118,,,218
1297,GO! freinetschool De Pit Diest,Overstraat 37   ,Diest,3290,82,82,,,164
1305,GO! basisschool Station Diest,Weerstandsplein 3    ,Diest,3290,137,278,,,415
1313,GO! basisschool Klein Atheneum Tienen,Oude Vestenstraat 12   ,Tienen,3300,174,290,,,464
1339,GO! basisschool Boutersem,Stationsstraat 81   ,Boutersem,3370,118,203,,,321
1354,GO! basisschool Hof Pepijn Landen,Bondgenotenlaan 6    ,Landen,3400,179,237,,,416
1362,GO! basisschool De Regent Gingelom,Nielstraat 1_A  ,Gingelom,3890,73,93,,,166
1388,GO! basisschool Runkst Hasselt,Runkstersteenweg 210  ,Hasselt,3500,101,176,,,277
1396,GO! basisschool Het Kleine atheneum Hasselt,Maastrichtersteenweg 23   ,Hasselt,3500,103,134,,,237
1404,GO! basisschool Lyceum Hasselt,Boomkensstraat 52   ,Hasselt,3500,200,287,,,487
1412,GO! basisschool Windekind Zonhoven,Gulden Boomkensweg 8    ,Zonhoven,3520,58,100,,,158
1421,GO! basisschool Euroschool De Mozaiek Houthalen,Huidevettersstraat 3    ,Houthalen-Helchteren,3530,62,106,,,168
1438,GO! basisschool Park Van Genk Houthalen-Helchteren,Weg naar Zwartberg 147  ,Houthalen-Helchteren,3530,62,142,,,204
1446,GO! basisschool Het Bergske Zolder,Het Bergske 17   ,Heusden-Zolder,3550,39,63,,,102
1453,GO! basisschool De Schans - De Luchtballon Heusden,Schansstraat 137  ,Heusden-Zolder,3550,142,203,,,345
1461,GO! basisschool 't Ateljeeke Koersel,Hospitaalstraat 91   ,Beringen,3582,107,144,,,251
1479,GO! basisschool Ter Duinen Hechtel,Rode Kruisplein 8    ,Hechtel-Eksel,3940,46,63,,,109
1487,GO! basisschool Aan Den Bogaerd Peer,Noordervest 33   ,Peer,3990,116,152,,,268
1495,GO! basisschool De Boomgaard Meeuwen-Gruitrode,Kiëstraat 1    ,Meeuwen-Gruitrode,3670,65,102,,,167
1503,GO! basisschool Campus De Wingerd Overpelt,Leopoldlaan 45   ,Overpelt,3900,101,128,,,229
1511,GO! basisschool De Horizon Hamont-Achel,Koleneind 1    ,Hamont-Achel,3930,70,98,,,168
1529,GO! basisschool De Brug Bocholt,Brugstraat 22   ,Bocholt,3950,57,106,,,163
